bucket,time_end,files_combined,bytes_combined
536,5370.0,0.444444,22866.4
537,5380.0,0.444444,22866.4
538,5390.0,0.444444,22866.4
539,5400.0,1.111111,20131.1
540,5410.0,4.111111,1108511.6
541,5420.0,7.000000,17509834.0
542,5430.0,3.500000,535009.0
543,5440.0,0.833333,47239.3
544,5450.0,1.333333,47610.3
545,5460.0,2.333333,747403.3
546,5470.0,5.000000,135279.0
547,5480.0,0.583333,427444.9
548,5490.0,0.583333,427444.9
549,5500.0,3.583333,3438319.9
550,5510.0,2.450000,5112082.6
551,5520.0,155.200000,274997916.4
552,5530.0,129.200000,269812076.4
553,5540.0,179.200000,300324215.4
554,5550.0,188.200000,345692626.4
555,5560.0,142.000000,178005883.0
556,5570.0,182.333333,244554695.2
557,5580.0,178.333333,228286264.2
558,5590.0,102.333333,119599744.7
559,5600.0,137.000000,149322502.0
560,5610.0,95.000000,92770720.0
561,5620.0,3.000000,130504.0
562,5630.0,2.000000,216392.0
563,5640.0,5.000000,893969.0
564,5650.0,1.500000,819890.0
565,5660.0,4.500000,491974.0
566,5670.0,57.000000,991286353.0
567,5680.0,167.000000,38937010083.0
568,5690.0,180.000000,9432225947.0
569,5700.0,169.333333,8282449338.7
570,5710.0,177.333333,21105048117.7
571,5720.0,192.333333,10227222744.7
572,5730.0,196.500000,21565505216.5
573,5740.0,122.500000,14697382609.5
574,5750.0,14.000000,1711375701.0
575,5760.0,5.000000,443809880.0
576,5770.0,1.500000,95008785.5
577,5780.0,3.500000,95177235.5
578,5790.0,1.500000,32884590.7
579,5800.0,1.642857,142702695.3
580,5810.0,0.642857,74368485.7
581,5820.0,3.642857,359773876.3
582,5830.0,0.642857,0.0
583,5840.0,2.642857,139371247.0
584,5850.0,4.142857,348702791.0
585,5860.0,15.142857,1622976102.0
586,5870.0,13.250000,1204044788.8
587,5880.0,3.250000,55667755.8
588,5890.0,3.250000,95222447.8
589,5900.0,2.583333,597179.8
590,5910.0,2.333333,457231.0
591,5920.0,2.833333,64738279.8
592,5930.0,1.833333,14675988.2
593,5940.0,2.333333,14834654.0
594,5950.0,1.333333,14236029.0
595,5960.0,6.000000,155166323.0
596,5970.0,2.000000,27846190.0
597,5980.0,2.500000,3439267.5
598,5990.0,14.833333,392806441.2
599,6000.0,1.333333,5422019.7
600,6010.0,0.833333,18221194.2
601,6020.0,1.500000,19537841.5
602,6030.0,1.500000,23367673.7
603,6040.0,3.000000,24265435.3
604,6050.0,3.500000,49638125.0
605,6060.0,3.333333,8105370.3
606,6070.0,1.333333,7398722.3
607,6080.0,4.333333,36332168.3
608,6090.0,35.000000,301305965.0
609,6100.0,159.000000,2369801120.0
610,6110.0,107.000000,4759542901.0
611,6120.0,114.000000,6021179431.0
612,6130.0,145.500000,7107103428.0
613,6140.0,154.500000,17264208076.0
614,6150.0,155.333333,10901636212.9
615,6160.0,170.333333,12885926031.9
616,6170.0,153.333333,17886840040.3
617,6180.0,99.500000,11941471556.5
618,6190.0,2.500000,147409444.5
619,6200.0,1.200000,74098335.0
620,6210.0,3.200000,143745054.0
621,6220.0,2.200000,122027755.0
622,6230.0,0.700000,43265616.0
623,6240.0,18.700000,640943950.0
624,6250.0,6.000000,331185385.0
625,6260.0,2.166667,303077447.3
626,6270.0,1.166667,112333654.3
627,6280.0,2.166667,194315688.3
628,6290.0,0.416667,29593768.3
629,6300.0,0.416667,29593768.3
630,6310.0,0.416667,29593768.3
631,6320.0,0.450000,26920078.2
632,6330.0,2.200000,259810704.2
633,6340.0,3.200000,336467300.2
634,6350.0,5.200000,734689618.2
635,6360.0,18.533333,1017993141.0
636,6370.0,0.666666,469927038.7
637,6380.0,24.666666,1475232822.7
638,6390.0,20.833333,611618967.5
639,6400.0,228.500000,6987340303.5
640,6410.0,146.000000,4253320061.0
641,6420.0,132.000000,3980431355.0
642,6430.0,178.000000,4844808956.0
643,6440.0,160.000000,5053267670.0
644,6450.0,177.000000,6239919893.0
645,6460.0,179.500000,4537424696.0
646,6470.0,155.500000,4006785092.0
647,6480.0,140.000000,3470277066.0
648,6490.0,148.500000,3799040069.0
649,6500.0,150.500000,8295437620.0
650,6510.0,209.000000,25673990503.0
651,6520.0,183.000000,24845709358.0
652,6530.0,143.000000,14980405266.0
653,6540.0,184.000000,10390682940.0
654,6550.0,175.000000,6188183215.0
655,6560.0,202.000000,7322655315.0
656,6570.0,189.500000,6764379847.0
657,6580.0,129.500000,4023253363.0
658,6590.0,172.500000,6103574579.6
659,6600.0,153.500000,15110506563.4
660,6610.0,185.000000,14348249676.0
661,6620.0,219.000000,24231572464.0
662,6630.0,183.200000,9845352004.6
663,6640.0,147.200000,9449024479.6
664,6650.0,160.200000,17374990180.6
665,6660.0,168.200000,26675201538.6
666,6670.0,256.200000,14189474150.6
667,6680.0,428.000000,13701347101.0
668,6690.0,343.000000,5823296261.0
669,6700.0,279.000000,5319718876.0
670,6710.0,293.000000,4336835944.0
671,6720.0,276.000000,5971387754.0
672,6730.0,415.000000,5245154739.0
673,6740.0,342.000000,3650654111.0
674,6750.0,282.000000,4118376950.0
675,6760.0,194.000000,3073627776.0
676,6770.0,349.000000,4000263363.0
677,6780.0,317.000000,18737405971.0
678,6790.0,387.000000,30176783682.0
679,6800.0,329.000000,20081899626.0
680,6810.0,278.000000,9860336622.0
681,6820.0,336.000000,7590444808.0
682,6830.0,333.000000,6088584539.0
683,6840.0,335.000000,6516425368.0
684,6850.0,323.000000,6119000375.0
685,6860.0,370.000000,6095408381.0
686,6870.0,343.000000,10869793043.0
687,6880.0,296.000000,17788007466.0
688,6890.0,362.000000,23017043830.0
689,6900.0,349.000000,24141187085.0
690,6910.0,347.000000,12362586601.0
691,6920.0,296.000000,10436981233.0
692,6930.0,383.000000,28799765770.0
693,6940.0,199.000000,14425685378.0
694,6950.0,365.000000,10506297432.0
695,6960.0,447.000000,3888669117.0
696,6970.0,335.000000,2089985959.0
697,6980.0,301.000000,132503620.0
698,6990.0,338.000000,408031743.0
699,7000.0,386.000000,30754720.0
700,7010.0,350.000000,11163987.0
701,7020.0,287.000000,172769276.0
702,7030.0,277.000000,7230953428.0
703,7040.0,351.000000,2514892558.0
704,7050.0,371.000000,9961574.0
705,7060.0,283.000000,6426116.0
706,7070.0,311.000000,333161912.0
707,7080.0,330.000000,141045661.0
708,7090.0,279.000000,1168774465.0
709,7100.0,308.000000,683294.0
710,7110.0,295.000000,621465.0
711,7120.0,306.000000,16988413452.0
712,7130.0,385.000000,16109060694.0
713,7140.0,290.000000,3752945534.0
714,7150.0,210.000000,743928367.0
715,7160.0,359.000000,283139116.0
716,7170.0,336.000000,9320670623.0
717,7180.0,366.000000,10523687107.0
718,7190.0,309.000000,592993962.0
719,7200.0,399.000000,924095924.0
720,7210.0,261.000000,13945027.0
721,7220.0,293.000000,20233192.0
722,7230.0,398.000000,26919451.0
723,7240.0,296.000000,93745435.0
724,7250.0,366.000000,808784820.0
725,7260.0,301.000000,40937796.0
726,7270.0,338.000000,15328819.0
727,7280.0,315.000000,2555629.0
728,7290.0,363.000000,786109744.0
729,7300.0,401.000000,4513914794.0
730,7310.0,312.000000,4379321549.0
731,7320.0,382.000000,690953335.0
732,7330.0,311.000000,5846145309.0
733,7340.0,318.000000,8177064.0
734,7350.0,422.000000,115580406.0
735,7360.0,353.000000,7783042078.0
736,7370.0,341.000000,15363432729.0
737,7380.0,390.000000,49272782.0
